,name,hp,types,weaknesses,rarity,nationalPokedexNumbers,resistances,damage,energyCost,evolution
1526,Togekiss,140.0,['Colorless'],['Lightning'],Rare Holo,468,['Fighting'],30,1,Stage 2
1527,Whismur,70.0,['Colorless'],['Fighting'],Common,293,['None'],30,3,Basic
1528,Loudred,90.0,['Colorless'],['Fighting'],Uncommon,294,['None'],50,3,Stage 1
1529,Exploud,140.0,['Colorless'],['Fighting'],Rare,295,['None'],50,4,Stage 2
1530,Lugia-EX,180.0,['Colorless'],['Lightning'],Rare Holo EX,249,['Fighting'],120,4,Basic
1531,Skitty,50.0,['Colorless'],['Fighting'],Common,300,['None'],20,2,Basic
1532,Patrat,50.0,['Colorless'],['Fighting'],Common,504,['None'],20,1,Basic
1533,Patrat,50.0,['Colorless'],['Fighting'],Common,504,['None'],20,2,Basic
1534,Watchog,90.0,['Colorless'],['Fighting'],Uncommon,505,['None'],30,2,Stage 1
1535,Watchog,90.0,['Colorless'],['Fighting'],Rare,505,['None'],60,3,Stage 1
1536,Bouffalant,100.0,['Colorless'],['Fighting'],Rare,626,['None'],70,4,Basic
1537,Rufflet,50.0,['Colorless'],['Lightning'],Common,627,['Fighting'],10,2,Basic
1538,Braviary,100.0,['Colorless'],['Lightning'],Rare,628,['Fighting'],60,3,Stage 1
1553,Victini-EX,110.0,['Fire'],['Water'],Rare Ultra,494,['None'],50,3,Basic
1554,Articuno-EX,170.0,['Water'],['Metal'],Rare Ultra,144,['Fighting'],80,4,Basic
1555,Cobalion-EX,180.0,['Metal'],['Fire'],Rare Ultra,638,['Psychic'],100,3,Basic
1556,Lugia-EX,180.0,['Colorless'],['Lightning'],Rare Ultra,249,['Fighting'],120,4,Basic
1558,Charizard,160.0,['Fire'],['Water'],Rare Secret,6,['None'],150,5,Stage 2
1559,Blastoise,140.0,['Water'],['Grass'],Rare Secret,9,['None'],60,4,Stage 2
1561,Weedle,50.0,['Grass'],['Fire'],Common,13,['None'],10,1,Basic
1562,Kakuna,80.0,['Grass'],['Fire'],Uncommon,14,['None'],0,1,Stage 1
1563,Beedrill,120.0,['Grass'],['Fire'],Rare,15,['None'],60,3,Stage 2
1564,Exeggcute,30.0,['Grass'],['Fire'],Uncommon,102,['Water'],20,2,Basic
1565,Exeggutor,100.0,['Grass'],['Fire'],Rare,103,['Water'],60,3,Stage 1
1566,Treecko,60.0,['Grass'],['Fire'],Common,252,['Water'],30,2,Basic
1567,Grovyle,80.0,['Grass'],['Fire'],Uncommon,253,['Water'],30,2,Stage 1
1568,Sceptile,130.0,['Grass'],['Fire'],Rare Holo,254,['Water'],80,3,Stage 2
1569,Cacnea,70.0,['Grass'],['Fire'],Common,331,['Water'],0,1,Basic
1570,Cacturne,90.0,['Grass'],['Fire'],Rare,332,['Water'],60,1,Stage 1
1571,Leafeon,100.0,['Grass'],['Fire'],Rare,470,['Water'],60,3,Stage 1
1572,Flareon,100.0,['Fire'],['Water'],Uncommon,136,['None'],90,3,Stage 1
1573,Heatran-EX,180.0,['Fire'],['Water'],Rare Holo EX,485,['None'],80,4,Basic
1574,Litwick,60.0,['Fire'],['Water'],Common,607,['None'],20,2,Basic
1575,Lampent,80.0,['Fire'],['Water'],Uncommon,608,['None'],40,3,Stage 1
1576,Chandelure,130.0,['Fire'],['Water'],Rare Holo,609,['None'],70,3,Stage 2
1577,Reshiram,130.0,['Fire'],['Water'],Rare Holo,643,['None'],80,4,Basic
1578,Horsea,60.0,['Water'],['Lightning'],Common,116,['None'],10,1,Basic
1579,Seadra,80.0,['Water'],['Lightning'],Uncommon,117,['None'],20,1,Stage 1
1580,Vaporeon,110.0,['Water'],['Grass'],Uncommon,134,['None'],30,2,Stage 1
1581,Wooper,70.0,['Water'],['Grass'],Common,194,['None'],20,2,Basic
1582,Quagsire,100.0,['Water'],['Grass'],Rare,195,['None'],60,3,Stage 1
1583,Glaceon,90.0,['Water'],['Metal'],Rare,471,['None'],60,3,Stage 1
1584,Tympole,60.0,['Water'],['Grass'],Common,535,['None'],20,1,Basic
1585,Palpitoad,90.0,['Water'],['Grass'],Uncommon,536,['None'],30,3,Stage 1
1586,Seismitoad,140.0,['Water'],['Grass'],Rare,537,['None'],80,4,Stage 2
1587,Vanillite,60.0,['Water'],['Metal'],Common,582,['None'],20,2,Basic
1588,Vanillish,80.0,['Water'],['Metal'],Uncommon,583,['None'],20,2,Stage 1
1589,Vanilluxe,130.0,['Water'],['Metal'],Rare,584,['None'],60,1,Stage 2
1590,Cryogonal,80.0,['Water'],['Metal'],Uncommon,615,['None'],10,1,Basic
1591,Kyurem,130.0,['Water'],['Metal'],Rare Holo,646,['None'],120,3,Basic
1592,Voltorb,60.0,['Lightning'],['Fighting'],Common,100,['None'],20,2,Basic
1593,Electrode,90.0,['Lightning'],['Fighting'],Rare Holo,101,['None'],60,3,Stage 1
1594,Jolteon,90.0,['Lightning'],['Fighting'],Uncommon,135,['None'],40,2,Stage 1
1595,Chinchou,70.0,['Lightning'],['Fighting'],Common,170,['None'],20,2,Basic
1596,Lanturn,90.0,['Lightning'],['Fighting'],Uncommon,171,['None'],90,3,Stage 1
1597,Pachirisu,70.0,['Lightning'],['Fighting'],Common,417,['None'],10,1,Basic
1598,Thundurus-EX,170.0,['Lightning'],['Fighting'],Rare Holo EX,642,['None'],90,4,Basic
1599,Zekrom,130.0,['Lightning'],['Fighting'],Rare Holo,644,['None'],80,4,Basic
1600,Nidoran â,60.0,['Psychic'],['Psychic'],Common,29,['None'],20,2,Basic
1601,Nidorina,90.0,['Psychic'],['Psychic'],Uncommon,30,['None'],40,3,Stage 1
1602,Nidoqueen,130.0,['Psychic'],['Psychic'],Rare,31,['None'],60,3,Stage 2
1603,Nidoran â,60.0,['Psychic'],['Psychic'],Common,32,['None'],30,1,Basic
1604,Nidorino,90.0,['Psychic'],['Psychic'],Uncommon,33,['None'],50,3,Stage 1
1605,Grimer,70.0,['Psychic'],['Psychic'],Common,88,['None'],30,3,Basic
1606,Muk,100.0,['Psychic'],['Psychic'],Rare,89,['None'],80,4,Stage 1
1607,Mr. Mime,70.0,['Psychic'],['Psychic'],Rare,122,['None'],20,2,Basic
1608,Espeon,90.0,['Psychic'],['Psychic'],Uncommon,196,['None'],20,1,Stage 1
1609,Sableye,70.0,['Psychic'],['None'],Rare,302,['None'],20,2,Basic
1610,Beldum,60.0,['Psychic'],['Psychic'],Common,374,['None'],20,2,Basic
1611,Metang,90.0,['Psychic'],['Psychic'],Uncommon,375,['None'],50,3,Stage 1
1612,Metagross,140.0,['Psychic'],['Psychic'],Rare Holo,376,['None'],60,4,Stage 2
1613,Deoxys-EX,170.0,['Psychic'],['Psychic'],Rare Holo EX,386,['None'],30,2,Basic
1614,Yamask,50.0,['Psychic'],['Darkness'],Common,562,['None'],0,1,Basic
1615,Yamask,60.0,['Psychic'],['Darkness'],Common,562,['None'],30,3,Basic
1616,Cofagrigus,100.0,['Psychic'],['Darkness'],Rare Holo,563,['None'],70,3,Stage 1
1617,Cofagrigus,100.0,['Psychic'],['Darkness'],Rare,563,['None'],40,3,Stage 1
1618,Nidoking,140.0,['Fighting'],['Water'],Rare,34,['Lightning'],90,4,Stage 2
1619,Mankey,50.0,['Fighting'],['Psychic'],Common,56,['None'],20,1,Basic
1620,Primeape,90.0,['Fighting'],['Psychic'],Common,57,['None'],80,2,Stage 1
1621,Onix,100.0,['Fighting'],['Grass'],Uncommon,95,['None'],60,4,Basic
1622,Makuhita,80.0,['Fighting'],['Psychic'],Common,296,['None'],60,3,Basic
1623,Hariyama,120.0,['Fighting'],['Psychic'],Rare,297,['None'],90,3,Stage 1
1624,Umbreon,100.0,['Darkness'],['Fighting'],Rare Holo,197,['Psychic'],70,3,Stage 1
1625,Sneasel,70.0,['Darkness'],['Fighting'],Common,215,['Psychic'],20,2,Basic
1626,Weavile,90.0,['Darkness'],['Fighting'],Rare,461,['Psychic'],30,2,Stage 1
1627,Absol,100.0,['Darkness'],['Fighting'],Rare Holo,359,['Psychic'],60,3,Basic
1628,Sandile,70.0,['Darkness'],['Fighting'],Common,551,['Psychic'],10,2,Basic
1629,Krokorok,90.0,['Darkness'],['Fighting'],Uncommon,552,['Psychic'],50,3,Stage 1
1630,Krookodile,140.0,['Darkness'],['Fighting'],Rare,553,['Psychic'],80,3,Stage 2
1631,Pawniard,60.0,['Darkness'],['Fighting'],Common,624,['Psychic'],10,1,Basic
1632,Pawniard,50.0,['Darkness'],['Fighting'],Common,624,['Psychic'],30,2,Basic
1633,Bisharp,100.0,['Darkness'],['Fighting'],Rare,625,['Psychic'],80,3,Stage 1
1634,Bisharp,90.0,['Darkness'],['Fighting'],Uncommon,625,['Psychic'],70,3,Stage 1
1635,Deino,60.0,['Darkness'],['Fighting'],Common,633,['Psychic'],30,3,Basic
1636,Deino,60.0,['Darkness'],['Fighting'],Common,633,['Psychic'],20,2,Basic
1637,Zweilous,90.0,['Darkness'],['Fighting'],Uncommon,634,['Psychic'],30,3,Stage 1
1638,Hydreigon,150.0,['Darkness'],['Fighting'],Rare Holo,635,['Psychic'],80,4,Stage 2
1639,Steelix,150.0,['Metal'],['Fire'],Rare,208,['Psychic'],100,5,Stage 1
1640,Mawile,70.0,['Metal'],['Fire'],Uncommon,303,['Psychic'],30,3,Basic
1641,Dratini,50.0,['Dragon'],['Dragon'],Common,147,['None'],20,2,Basic
1642,Dragonair,70.0,['Dragon'],['Dragon'],Uncommon,148,['None'],50,3,Stage 1
1643,Dragonite,150.0,['Dragon'],['Dragon'],Rare Holo,149,['None'],90,4,Stage 2
1644,Kingdra,140.0,['Dragon'],['Dragon'],Rare Holo,230,['None'],20,1,Stage 2
1645,Latias-EX,160.0,['Dragon'],['Dragon'],Rare Holo EX,380,['None'],70,3,Basic
1646,Latios-EX,170.0,['Dragon'],['Dragon'],Rare Holo EX,381,['None'],150,3,Basic
1647,Rattata,40.0,['Colorless'],['Fighting'],Common,19,['None'],30,2,Basic
1648,Raticate,70.0,['Colorless'],['Fighting'],Rare,20,['None'],30,2,Stage 1
1649,Eevee,60.0,['Colorless'],['Fighting'],Common,133,['None'],10,2,Basic
1650,Eevee,60.0,['Colorless'],['Fighting'],Common,133,['None'],30,3,Basic
1651,Hoothoot,60.0,['Colorless'],['Lightning'],Common,163,['Fighting'],0,1,Basic
1652,Noctowl,90.0,['Colorless'],['Lightning'],Uncommon,164,['Fighting'],50,3,Stage 1
1653,Miltank,100.0,['Colorless'],['Fighting'],Uncommon,241,['None'],30,2,Basic
1654,Kecleon,70.0,['Colorless'],['Fighting'],Rare,352,['None'],0,1,Basic
1655,Starly,60.0,['Colorless'],['Lightning'],Common,396,['Fighting'],10,1,Basic
1656,Staravia,80.0,['Colorless'],['Lightning'],Uncommon,397,['Fighting'],30,2,Stage 1
1657,Staraptor,130.0,['Colorless'],['Lightning'],Rare,398,['Fighting'],60,3,Stage 2
1658,Tornadus-EX,180.0,['Colorless'],['Lightning'],Rare Holo EX,641,['Fighting'],60,4,Basic
1669,Heatran-EX,180.0,['Fire'],['Water'],Rare Ultra,485,['None'],80,4,Basic
1670,Thundurus-EX,170.0,['Lightning'],['Fighting'],Rare Ultra,642,['None'],90,4,Basic
1671,Deoxys-EX,170.0,['Psychic'],['Psychic'],Rare Ultra,386,['None'],30,2,Basic
1672,Latias-EX,160.0,['Dragon'],['Dragon'],Rare Ultra,380,['None'],70,3,Basic
1673,Latios-EX,170.0,['Dragon'],['Dragon'],Rare Ultra,381,['None'],150,3,Basic
1674,Tornadus-EX,180.0,['Colorless'],['Lightning'],Rare Ultra,641,['Fighting'],60,4,Basic
1677,Empoleon,140.0,['Water'],['Lightning'],Rare Secret,395,['None'],10,1,Stage 2
1678,Sigilyph,90.0,['Psychic'],['Psychic'],Rare Secret,561,['None'],50,3,Basic
1679,Garbodor,100.0,['Psychic'],['Psychic'],Rare Secret,569,['None'],60,3,Stage 1
1680,Garchomp,140.0,['Dragon'],['Dragon'],Rare Secret,445,['None'],100,2,Stage 2
1683,Surskit,50.0,['Grass'],['Fire'],Common,283,['None'],0,1,Basic
1684,Masquerain,80.0,['Grass'],['Fire'],Rare,284,['None'],60,3,Stage 1
1685,Lileep,80.0,['Grass'],['Fire'],Uncommon,345,['Water'],20,2,Restored
1686,Cradily,120.0,['Grass'],['Fire'],Rare,346,['Water'],60,3,Stage 1
1687,Tropius,100.0,['Grass'],['Lightning'],Uncommon,357,['Fighting'],20,2,Basic
1688,Karrablast,60.0,['Grass'],['Fire'],Common,588,['None'],20,2,Basic
1689,Shelmet,60.0,['Grass'],['Fire'],Common,616,['None'],20,2,Basic
1690,Accelgor,80.0,['Grass'],['Fire'],Rare,617,['None'],30,2,Stage 1
1691,Virizion-EX,170.0,['Grass'],['Fire'],Rare Holo EX,640,['Water'],50,2,Basic
1692,Genesect,100.0,['Grass'],['Fire'],Rare,649,['None'],80,3,Basic
1693,Genesect-EX,170.0,['Grass'],['Fire'],Rare Holo EX,649,['None'],100,3,Basic
1694,Larvesta,70.0,['Fire'],['Water'],Common,636,['None'],30,2,Basic
1695,Volcarona,100.0,['Fire'],['Water'],Rare,637,['None'],50,3,Stage 1
1696,Squirtle,50.0,['Water'],['Grass'],Common,7,['None'],20,2,Basic
1697,Wartortle,80.0,['Water'],['Grass'],Uncommon,8,['None'],30,3,Stage 1
1698,Blastoise,140.0,['Water'],['Grass'],Rare Holo,9,['None'],60,4,Stage 2
1699,Lapras,100.0,['Water'],['Metal'],Common,131,['None'],70,4,Basic
1700,Remoraid,60.0,['Water'],['Lightning'],Common,223,['None'],20,2,Basic
1701,Octillery,90.0,['Water'],['Lightning'],Uncommon,224,['None'],40,2,Stage 1
1702,Suicune,100.0,['Water'],['Grass'],Rare,245,['None'],70,3,Basic
1703,Snorunt,60.0,['Water'],['Metal'],Common,361,['None'],20,2,Basic
1704,Glalie,100.0,['Water'],['Metal'],Uncommon,362,['None'],60,3,Stage 1
1705,Froslass,90.0,['Water'],['Metal'],Rare,478,['None'],30,2,Stage 1
1706,Relicanth,90.0,['Water'],['Grass'],Uncommon,369,['None'],30,2,Basic
1707,Snover,70.0,['Water'],['Metal'],Common,459,['None'],40,3,Basic
1708,Abomasnow,120.0,['Water'],['Metal'],Uncommon,460,['None'],80,3,Stage 1
1709,Tirtouga,90.0,['Water'],['Grass'],Uncommon,564,['None'],30,3,Restored
1710,Carracosta,140.0,['Water'],['Grass'],Rare,565,['None'],80,4,Stage 1
1711,Ducklett,60.0,['Water'],['Lightning'],Common,580,['Fighting'],0,2,Basic
1712,Kyurem-EX,180.0,['Water'],['Metal'],Rare Holo EX,646,['None'],150,4,Basic
1713,Tynamo,30.0,['Lightning'],['Fighting'],Common,602,['None'],20,1,Basic
1714,Eelektrik,80.0,['Lightning'],['Fighting'],Uncommon,603,['None'],30,2,Stage 1
1715,Eelektross,140.0,['Lightning'],['Fighting'],Rare Holo,604,['None'],50,4,Stage 2
1716,Drifloon,70.0,['Psychic'],['Darkness'],Common,425,['None'],0,3,Basic
1717,Drifblim,100.0,['Psychic'],['Darkness'],Rare,426,['None'],70,3,Stage 1
1718,Uxie,60.0,['Psychic'],['Psychic'],Rare,480,['None'],0,1,Basic
1719,Mesprit,60.0,['Psychic'],['Psychic'],Rare Holo,481,['None'],30,3,Basic
1720,Azelf,60.0,['Psychic'],['Psychic'],Rare,482,['None'],0,3,Basic
1721,Munna,60.0,['Psychic'],['Psychic'],Common,517,['None'],10,2,Basic
1722,Musharna,100.0,['Psychic'],['Psychic'],Uncommon,518,['None'],60,3,Stage 1
1723,Sigilyph,90.0,['Psychic'],['Lightning'],Rare Holo,561,['Fighting'],70,3,Basic
1724,Solosis,30.0,['Psychic'],['Psychic'],Common,577,['None'],0,1,Basic
1725,Duosion,60.0,['Psychic'],['Psychic'],Uncommon,578,['None'],20,2,Stage 1
1726,Reuniclus,100.0,['Psychic'],['Psychic'],Rare,579,['None'],70,3,Stage 2
1727,Golett,80.0,['Psychic'],['Darkness'],Common,622,['None'],50,3,Basic
1728,Golurk,130.0,['Psychic'],['Darkness'],Rare Holo,623,['None'],80,4,Stage 1
1729,Machop,60.0,['Fighting'],['Psychic'],Common,66,['None'],30,2,Basic
1730,Machoke,90.0,['Fighting'],['Psychic'],Uncommon,67,['None'],60,3,Stage 1
1731,Machamp,150.0,['Fighting'],['Psychic'],Rare Holo,68,['None'],120,4,Stage 2
1732,Machamp,140.0,['Fighting'],['Psychic'],Rare,68,['None'],80,4,Stage 2
1733,Throh,100.0,['Fighting'],['Psychic'],Common,538,['None'],80,3,Basic
1734,Sawk,90.0,['Fighting'],['Psychic'],Common,539,['None'],60,3,Basic
1735,Archen,70.0,['Fighting'],['Grass'],Uncommon,566,['None'],20,2,Restored
1736,Archeops,120.0,['Fighting'],['Grass'],Rare Holo,567,['None'],100,2,Stage 1
1737,Houndour,60.0,['Darkness'],['Fighting'],Common,228,['Psychic'],20,2,Basic
1738,Houndoom,100.0,['Darkness'],['Fighting'],Rare Holo,229,['Psychic'],60,3,Stage 1
1739,Aron,60.0,['Metal'],['Fire'],Common,304,['Psychic'],30,3,Basic
1740,Lairon,90.0,['Metal'],['Fire'],Uncommon,305,['Psychic'],50,3,Stage 1
1741,Aggron,140.0,['Metal'],['Fire'],Rare,306,['Psychic'],80,4,Stage 2
1742,Jirachi-EX,90.0,['Metal'],['Fire'],Rare Holo EX,385,['Psychic'],60,3,Basic
1743,Escavalier,100.0,['Metal'],['Fire'],Rare,589,['Psychic'],80,3,Stage 1
1744,Bagon,50.0,['Dragon'],['Dragon'],Common,371,['None'],20,2,Basic
1745,Shelgon,80.0,['Dragon'],['Dragon'],Uncommon,372,['None'],50,3,Stage 1
1746,Salamence,150.0,['Dragon'],['Dragon'],Rare Holo,373,['None'],100,4,Stage 2
1747,Dialga-EX,180.0,['Dragon'],['Dragon'],Rare Holo EX,483,['None'],90,4,Basic
1748,Palkia-EX,180.0,['Dragon'],['Dragon'],Rare Holo EX,484,['None'],80,4,Basic
1749,Axew,50.0,['Dragon'],['Dragon'],Common,610,['None'],20,2,Basic
1750,Fraxure,80.0,['Dragon'],['Dragon'],Uncommon,611,['None'],40,2,Stage 1
1751,Haxorus,140.0,['Dragon'],['Dragon'],Rare Holo,612,['None'],40,1,Stage 2
1752,Druddigon,100.0,['Dragon'],['Dragon'],Common,621,['None'],60,3,Basic
1753,Kangaskhan,100.0,['Colorless'],['Fighting'],Common,115,['None'],20,2,Basic
1754,Porygon,60.0,['Colorless'],['Fighting'],Common,137,['None'],10,1,Basic
1755,Porygon2,80.0,['Colorless'],['Fighting'],Uncommon,233,['None'],30,2,Stage 1
1756,Porygon-Z,130.0,['Colorless'],['Fighting'],Rare Holo,474,['None'],50,3,Stage 2
1757,Teddiursa,70.0,['Colorless'],['Fighting'],Common,216,['None'],10,2,Basic
1758,Ursaring,130.0,['Colorless'],['Fighting'],Uncommon,217,['None'],80,4,Stage 1
1759,Chatot,60.0,['Colorless'],['Lightning'],Uncommon,441,['Fighting'],20,2,Basic
1778,Virizion-EX,170.0,['Grass'],['Fire'],Rare Ultra,640,['Water'],50,2,Basic
1779,Genesect-EX,170.0,['Grass'],['Fire'],Rare Ultra,649,['None'],100,3,Basic
1780,Jirachi-EX,90.0,['Metal'],['Fire'],Rare Ultra,385,['Psychic'],60,3,Basic
1781,Dialga-EX,180.0,['Dragon'],['Dragon'],Rare Ultra,483,['None'],90,4,Basic
1782,Palkia-EX,180.0,['Dragon'],['Dragon'],Rare Ultra,484,['None'],80,4,Basic
1784,Exeggcute,30.0,['Grass'],['Fire'],Rare Secret,102,['Water'],20,2,Basic
1785,Virizion,110.0,['Grass'],['Fire'],Rare Secret,640,['Water'],40,2,Basic
1786,Dusknoir,130.0,['Psychic'],['Darkness'],Rare Secret,477,['None'],60,4,Stage 2
1788,Tangela,70.0,['Grass'],['Fire'],Common,114,['Water'],20,3,Basic
1789,Tangrowth,120.0,['Grass'],['Fire'],Rare,465,['Water'],60,4,Stage 1
1790,Shuckle,80.0,['Grass'],['Fire'],Uncommon,213,['None'],40,3,Basic
1791,Cherubi,40.0,['Grass'],['Fire'],Uncommon,420,['Water'],10,1,Basic
1792,Carnivine,80.0,['Grass'],['Fire'],Uncommon,455,['Water'],20,2,Basic
1793,Snivy,60.0,['Grass'],['Fire'],Common,495,['Water'],10,2,Basic
1794,Servine,80.0,['Grass'],['Fire'],Uncommon,496,['Water'],30,2,Stage 1
1795,Serperior,130.0,['Grass'],['Fire'],Rare Holo,497,['Water'],60,2,Stage 2
1796,Sewaddle,50.0,['Grass'],['Fire'],Common,540,['None'],20,2,Basic
1797,Sewaddle,50.0,['Grass'],['Fire'],Common,540,['None'],20,2,Basic
1798,Swadloon,70.0,['Grass'],['Fire'],Uncommon,541,['None'],20,2,Stage 1
1799,Leavanny,130.0,['Grass'],['Fire'],Rare Holo,542,['None'],40,3,Stage 2
1800,Dwebble,60.0,['Grass'],['Fire'],Common,557,['None'],20,2,Basic
1801,Crustle,100.0,['Grass'],['Fire'],Uncommon,558,['None'],70,3,Stage 1
1802,Virizion,110.0,['Grass'],['Fire'],Rare Holo,640,['Water'],40,2,Basic
1803,Genesect,110.0,['Grass'],['Fire'],Rare Holo,649,['None'],50,4,Basic
1804,Charmander,70.0,['Fire'],['Water'],Common,4,['None'],20,2,Basic
1805,Charmeleon,90.0,['Fire'],['Water'],Uncommon,5,['None'],50,3,Stage 1
1806,Charizard,160.0,['Fire'],['Water'],Rare Holo,6,['None'],150,5,Stage 2
1807,Vulpix,60.0,['Fire'],['Water'],Common,37,['None'],20,2,Basic
1808,Ninetales,90.0,['Fire'],['Water'],Rare,38,['None'],50,3,Stage 1
1809,Moltres,120.0,['Fire'],['Water'],Rare Holo,146,['Fighting'],90,4,Basic
1810,Victini,60.0,['Fire'],['Water'],Rare Holo,494,['None'],30,2,Basic
1811,Victini-EX,110.0,['Fire'],['Water'],Rare Holo EX,494,['None'],50,3,Basic
1812,Tepig,70.0,['Fire'],['Water'],Common,498,['None'],30,2,Basic
1813,Pignite,100.0,['Fire'],['Water'],Uncommon,499,['None'],70,3,Stage 1
1814,Emboar,150.0,['Fire'],['Water'],Rare Holo,500,['None'],80,4,Stage 2
1815,Reshiram,130.0,['Fire'],['Water'],Rare Holo,643,['None'],120,3,Basic
1816,Reshiram-EX,180.0,['Fire'],['Water'],Rare Holo EX,643,['None'],150,4,Basic
1817,Magikarp,30.0,['Water'],['Lightning'],Common,129,['None'],10,1,Basic
1818,Gyarados,130.0,['Water'],['Lightning'],Rare,130,['None'],120,5,Stage 1
1819,Articuno,120.0,['Water'],['Metal'],Rare Holo,144,['Fighting'],80,4,Basic
1820,Piplup,60.0,['Water'],['Lightning'],Common,393,['None'],10,2,Basic
1821,Prinplup,90.0,['Water'],['Lightning'],Uncommon,394,['None'],20,2,Stage 1
1822,Empoleon,140.0,['Water'],['Lightning'],Rare,395,['None'],70,3,Stage 2
1823,Phione,70.0,['Water'],['Lightning'],Rare,489,['None'],20,1,Basic
1824,Oshawott,60.0,['Water'],['Lightning'],Common,501,['None'],20,2,Basic
1825,Dewott,80.0,['Water'],['Lightning'],Uncommon,502,['None'],30,2,Stage 1
1826,Samurott,140.0,['Water'],['Lightning'],Rare Holo,503,['None'],70,3,Stage 2
1827,Tympole,60.0,['Water'],['Grass'],Common,535,['None'],20,2,Basic
1828,Palpitoad,80.0,['Water'],['Grass'],Uncommon,536,['None'],20,3,Stage 1
1829,Seismitoad,140.0,['Water'],['Grass'],Rare,537,['None'],70,3,Stage 2
1830,Kyurem,130.0,['Water'],['Metal'],Rare Holo,646,['None'],20,2,Basic
1831,Kyurem-EX,180.0,['Water'],['Metal'],Rare Holo EX,646,['None'],120,4,Basic
1832,Keldeo-EX,170.0,['Water'],['Grass'],Rare Holo EX,647,['None'],50,3,Basic
1833,Zapdos,120.0,['Lightning'],['Lightning'],Rare Holo,145,['Fighting'],50,4,Basic
1834,Plusle,60.0,['Lightning'],['Fighting'],Uncommon,311,['None'],20,1,Basic
1835,Minun,60.0,['Lightning'],['Fighting'],Uncommon,312,['None'],0,1,Basic
1836,Emolga,70.0,['Lightning'],['Lightning'],Uncommon,587,['Fighting'],20,1,Basic
1837,Thundurus,110.0,['Lightning'],['Fighting'],Rare Holo,642,['None'],80,3,Basic
1838,Zekrom,130.0,['Lightning'],['Fighting'],Rare Holo,644,['None'],120,3,Basic
1839,Zekrom-EX,180.0,['Lightning'],['Fighting'],Rare Holo EX,644,['None'],150,4,Basic
1840,Mewtwo,120.0,['Psychic'],['Psychic'],Rare Holo,150,['None'],120,4,Basic
1841,Mewtwo-EX,170.0,['Psychic'],['Psychic'],Rare Holo EX,150,['None'],120,3,Basic
1842,Natu,50.0,['Psychic'],['Psychic'],Common,177,['None'],20,2,Basic
1843,Xatu,90.0,['Psychic'],['Psychic'],Rare,178,['None'],60,3,Stage 1
1844,Misdreavus,60.0,['Psychic'],['Darkness'],Common,200,['None'],20,2,Basic
1845,Mismagius,100.0,['Psychic'],['Darkness'],Rare,429,['None'],70,3,Stage 1
1846,Ralts,60.0,['Psychic'],['Psychic'],Common,280,['None'],10,2,Basic
1847,Kirlia,80.0,['Psychic'],['Psychic'],Uncommon,281,['None'],40,3,Stage 1
1848,Sableye,70.0,['Psychic'],['None'],Uncommon,302,['None'],30,2,Basic
1849,Croagunk,70.0,['Psychic'],['Psychic'],Common,453,['None'],20,2,Basic
1850,Toxicroak,90.0,['Psychic'],['Psychic'],Rare,454,['None'],60,3,Stage 1
1851,Woobat,50.0,['Psychic'],['Lightning'],Common,527,['Fighting'],10,1,Basic
1852,Swoobat,80.0,['Psychic'],['Lightning'],Uncommon,528,['Fighting'],30,1,Stage 1
1853,Sigilyph,90.0,['Psychic'],['Psychic'],Rare Holo,561,['None'],50,3,Basic
1854,Trubbish,70.0,['Psychic'],['Psychic'],Common,568,['None'],30,3,Basic
1855,Garbodor,100.0,['Psychic'],['Psychic'],Rare Holo,569,['None'],60,3,Stage 1
1856,Gothita,60.0,['Psychic'],['Psychic'],Common,574,['None'],20,2,Basic
1857,Gothita,50.0,['Psychic'],['Psychic'],Common,574,['None'],10,2,Basic
1858,Gothorita,80.0,['Psychic'],['Psychic'],Uncommon,575,['None'],20,2,Stage 1
1859,Gothitelle,130.0,['Psychic'],['Psychic'],Rare Holo,576,['None'],30,3,Stage 2
1860,Solosis,30.0,['Psychic'],['Psychic'],Common,577,['None'],10,1,Basic
1861,Solosis,30.0,['Psychic'],['Psychic'],Common,577,['None'],20,2,Basic
1862,Duosion,60.0,['Psychic'],['Psychic'],Uncommon,578,['None'],20,1,Stage 1
1863,Reuniclus,90.0,['Psychic'],['Psychic'],Rare,579,['None'],40,1,Stage 2
1864,Chandelure-EX,170.0,['Psychic'],['Darkness'],Rare Holo EX,609,['None'],70,3,Basic
1865,Meloetta,80.0,['Psychic'],['Psychic'],Rare Holo,648,['None'],50,3,Basic
1866,Riolu,70.0,['Fighting'],['Psychic'],Uncommon,447,['None'],10,2,Basic
1867,Lucario,100.0,['Fighting'],['Psychic'],Rare Holo,448,['None'],50,2,Stage 1
1868,Gallade,140.0,['Fighting'],['Psychic'],Rare,475,['None'],60,3,Stage 2
1869,Excadrill-EX,180.0,['Fighting'],['Water'],Rare Holo EX,530,['Lightning'],120,4,Basic
1870,Stunfisk,100.0,['Fighting'],['Water'],Uncommon,618,['Lightning'],40,2,Basic
1871,Terrakion,130.0,['Fighting'],['Grass'],Rare Holo,639,['None'],90,3,Basic
1872,Landorus,110.0,['Fighting'],['Water'],Rare Holo,645,['Lightning'],80,3,Basic
1873,Meloetta,90.0,['Fighting'],['Psychic'],Rare,648,['None'],40,3,Basic
1874,Spiritomb,80.0,['Darkness'],['None'],Uncommon,442,['None'],0,1,Basic
